time_min,temp_C,OD600,strain,well,media,neg_selection,pos_selection,operator,repressor,volume_marker,date,run_number
1174.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
1199.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
1224.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
1249.5833333333333,37.0,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
1274.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
1299.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
1324.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
1349.5833333333333,37.0,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
1374.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,blank,,blank,20200903,1
24.583333333333332,37.1,0.04,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
49.583333333333336,37.1,0.042,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
74.58333333333333,37.1,0.044000000000000004,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
99.58333333333333,37.0,0.047,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
124.58333333333333,37.0,0.049,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
149.58333333333334,37.0,0.053,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
174.58333333333334,37.0,0.057,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
199.58333333333334,37.0,0.064,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
224.58333333333334,37.1,0.073,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
249.58333333333334,37.1,0.084,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
274.5833333333333,37.0,0.099,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
299.5833333333333,37.0,0.11699999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
324.5833333333333,37.1,0.14300000000000002,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
349.5833333333333,37.1,0.17300000000000001,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
374.5833333333333,37.0,0.222,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
399.5833333333333,37.0,0.294,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
424.5833333333333,37.0,0.342,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
449.5833333333333,37.0,0.41700000000000004,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
474.5833333333333,37.1,0.45899999999999996,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
499.5833333333333,37.0,0.507,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
524.5833333333334,37.0,0.557,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
549.5833333333334,37.1,0.594,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
574.5833333333334,37.0,0.636,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
599.5833333333334,37.0,0.677,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
624.5833333333334,37.0,0.7,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
649.5833333333334,37.1,0.725,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
674.5833333333334,37.0,0.748,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
