time_min,temp_C,OD600,YFP,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,gp_OD600,gp_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
18.95,37.0,0.035,30,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.00399999999999999,0.035022,0.0023269743988385346,-1.970465e-05,9.306855267227738e-05,-4735.705,652443.1378270022
38.95,37.1,0.035,42,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.030937500000000014,0.00406249999999999,0.0351394,0.0020564664953129897,2.2526400000000002e-05,4.575943131382977e-05,10949.25,457738.908334323
58.95,37.0,0.036000000000000004,32,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.0049999999999999906,0.035897399999999996,0.0020581894998117664,5.05055e-05,2.680654104422299e-05,13280.0,152395.98814432297
78.95,37.0,0.037000000000000005,32,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.0059999999999999915,0.03696125,0.0020244419310193294,6.41698e-05,2.488126688670228e-05,10740.15,129081.1868542547
98.95,37.0,0.038,34,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.006999999999999985,0.0383305,0.0019961083574828197,6.812465e-05,2.3965957310529247e-05,10112.8,15602.446730317779
118.95,37.0,0.04,30,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.008999999999999987,0.03973905,0.0019925608577278423,6.767605000000001e-05,2.157643126452702e-05,10227.45,40660.49058764036
138.95,37.1,0.041,39,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.009999999999999988,0.04109164999999999,0.0020611098341504295,6.69148e-05,1.9408652604677646e-05,10349.349999999999,19801.70510963224
158.95,37.0,0.042,30,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.010999999999999989,0.0424022,0.0019477015062972292,7.14867e-05,1.847938009062387e-05,9696.175,3828.478160679832
178.95,37.1,0.044,27,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.012999999999999984,0.0440159,0.001956048208343478,8.555475e-05,1.8425461211586894e-05,8101.795,2201.711391517553
198.95,37.0,0.046,35,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.014999999999999986,0.0459214,0.0019185931979898458,0.0001095305,1.8525473054562746e-05,6328.35,1225.3270308430906
218.95,37.0,0.049,31,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.017999999999999988,0.0483429,0.0019765601059982757,0.0001406805,1.8162957039556264e-05,4927.09,676.6382514758731
238.95,37.0,0.052000000000000005,32,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.030937500000000014,0.02106249999999999,0.05162895,0.001964785599156854,0.000177859,1.798529337884304e-05,3897.165,408.1877575342102
258.95,37.0,0.056,35,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.024999999999999988,0.0555115,0.001959549526395833,0.000217306,1.750854062073946e-05,3189.735,265.7097613007196
278.95,37.0,0.06,45,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.028999999999999984,0.0602463,0.002011107556496419,0.000255078,1.6851752437001572e-05,2717.395,182.19512430010406
298.95,37.1,0.065,29,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.03399999999999999,0.06569095,0.001997771825735612,0.0002940285,1.6860704084939634e-05,2357.415,136.64785965323554
318.95,37.1,0.071,32,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.030937500000000014,0.04006249999999998,0.07209965,0.001888504283864944,0.00033691600000000004,1.773500933470923e-05,2057.33,109.9013097432947
338.95,37.0,0.079,29,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031062500000000014,0.04793749999999999,0.07932325,0.0019639427854021086,0.00038942649999999996,1.773957314817283e-05,1779.915,81.21565895969923
358.95,37.1,0.08800000000000001,36,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.056999999999999995,0.08783185,0.0020050983869111597,0.0004619615,1.7397654902985164e-05,1500.4450000000002,56.93905494866068
378.95,37.0,0.098,32,O1_R0_T_CFP,C03,M9_0.5%_glucose,0_ugmL_tetracycline,O1,0.0,CFP,20200618,1,0.031000000000000014,0.06699999999999999,0.0978623,0.001973148649280972,0.0005611425,1.628933993386088e-05,1235.245,36.090745591691075
