time_min,temp_C,OD600,strain,well,media,pos_selection,neg_selection,operator,repressor,volume_marker,date,run_number
24.583333333333332,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
49.583333333333336,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
74.58333333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
99.58333333333333,36.9,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
124.58333333333333,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
149.58333333333334,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
174.58333333333334,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
199.58333333333334,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
224.58333333333334,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
249.58333333333334,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
274.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
299.5833333333333,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
324.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
349.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
374.5833333333333,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
399.5833333333333,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
424.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
449.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
474.5833333333333,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
499.5833333333333,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
524.5833333333334,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
549.5833333333334,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
574.5833333333334,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_uM_disulfiram,blank,,blank,20200726,1
