time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number
659.1166666666667,37.1,0.505,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
674.1166666666667,37.0,0.513,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
689.1166666666667,37.0,0.524,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
704.1166666666667,37.0,0.53,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
719.1166666666667,37.0,0.534,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
734.1166666666667,37.0,0.5379999999999999,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
749.1166666666667,37.0,0.542,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
764.1166666666667,37.0,0.545,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
779.1166666666667,37.1,0.547,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
794.1166666666667,37.0,0.5489999999999999,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
809.1166666666667,37.0,0.55,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
824.1166666666667,37.0,0.5489999999999999,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
839.1166666666667,37.0,0.5489999999999999,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
854.1166666666667,37.0,0.551,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
869.1166666666667,37.0,0.55,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
884.1166666666667,37.1,0.5479999999999999,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
899.1166666666667,37.0,0.546,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
914.1166666666667,37.1,0.544,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
929.1166666666667,37.0,0.5429999999999999,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
944.1166666666667,37.0,0.542,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
959.1166666666667,37.0,0.5379999999999999,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
974.1166666666667,37.1,0.536,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
989.1166666666667,37.1,0.534,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1004.1166666666667,37.0,0.53,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1019.1166666666667,37.0,0.526,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1034.1166666666666,37.0,0.524,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1049.1166666666666,37.1,0.521,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1064.1166666666666,37.1,0.516,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1079.1166666666666,37.1,0.512,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1094.1166666666666,37.0,0.508,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1109.1166666666666,37.1,0.503,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1124.1166666666666,37.0,0.496,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1139.1166666666666,37.1,0.491,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
