,OD600,OD_sub,blank_val,date,doubling_time,doubling_time_std,growth_rate,growth_rate_std,logOD_fit,logOD_fit_std,media,misc,operator,repressor,run_number,selection,strain,temp_C,time_min,volume_marker,well
4059,0.1,0.023000000000000007,0.077,20190511,320.0793465283613,16.687885074795282,0.002165547974519273,0.00011290455355741361,-2.397078303857594,0.01112353769856462,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,533.4666666666667,mCh,F7
4060,0.102,0.024999999999999994,0.077,20190511,298.46295620043793,14.493978475533027,0.0023223893155251414,0.00011278002864926355,-2.383617058209193,0.011118994091936379,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,539.4666666666667,mCh,F7
4061,0.104,0.02683333333333332,0.07716666666666668,20190511,279.0258049346185,12.651624695771053,0.002484168733864468,0.00011263750501207738,-2.369199753237223,0.011115347854727498,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,545.4666666666667,mCh,F7
4062,0.106,0.028833333333333322,0.07716666666666668,20190511,261.51836363816676,11.098214142557449,0.0026504723068662755,0.00011247970823654689,-2.353797982512501,0.011112546362893163,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,551.4666666666667,mCh,F7
4063,0.107,0.029833333333333323,0.07716666666666668,20190511,245.72303047150788,9.783282332881084,0.0028208474363591134,0.00011230997287852902,-2.3373859399799244,0.011110509422484267,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,557.4666666666667,mCh,F7
4064,0.109,0.031833333333333325,0.07716666666666668,20190511,231.44988281414322,8.665991646180949,0.0029948046295471663,0.00011213205894098584,-2.3199406468253283,0.011109134432429515,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,563.4666666666667,mCh,F7
4065,0.111,0.033833333333333326,0.07716666666666668,20190511,218.53297891803632,7.7131622478444655,0.003171819576119535,0.00011194996349120862,-2.3014421667531604,0.011108302149468282,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,569.4666666666667,mCh,F7
4066,0.115,0.03783333333333333,0.07716666666666668,20190511,206.82715242551544,6.89772845746315,0.0033513355109869728,0.00011176773481405744,-2.2818738079453667,0.011107882762223511,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,575.4666666666667,mCh,F7
4067,0.117,0.03983333333333333,0.07716666666666668,20190511,196.2052425938928,6.197525069437969,0.0035327658496599247,0.00011158929612823308,-2.2612223100167452,0.0111077419895531,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,581.4666666666667,mCh,F7
4068,0.12,0.04283333333333332,0.07716666666666668,20190511,186.55570586460703,5.594330020451548,0.0037154970808719054,0.00011141828530030086,-2.2394780143765685,0.011107746941683493,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,587.4666666666667,mCh,F7
4069,0.123,0.04583333333333332,0.07716666666666668,20190511,177.78055882366417,5.073106673220854,0.0038988918987900114,0.00011125791616808391,-2.216635016508336,0.011107771511327656,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,593.4666666666667,mCh,F7
4070,0.126,0.049,0.077,20190511,169.79360768858294,4.621401955930431,0.004082292555036823,0.00011111086604113644,-2.192691298786274,0.011107701102446367,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,599.4666666666667,mCh,F7
4071,0.13,0.05283333333333333,0.07716666666666668,20190511,162.5189246615378,4.228866550345744,0.004265024408717292,0.00011097919270629531,-2.1676488425738203,0.011107436547769186,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,605.4666666666667,mCh,F7
4072,0.134,0.05683333333333333,0.07716666666666668,20190511,155.88953647787145,3.886870957778074,0.004446399650808749,0.00011086428287543445,-2.1415137184844437,0.011106897110009019,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,611.4666666666667,mCh,F7
4073,0.139,0.06183333333333334,0.07716666666666668,20190511,149.84629508413897,3.588197134644426,0.004625721177628996,0.00011076683254606058,-2.1142961538403924,0.011106022510491047,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,617.4666666666667,mCh,F7
4074,0.14400000000000002,0.06683333333333334,0.07716666666666668,20190511,144.33690452693085,3.326789896504547,0.004802286586592382,0.0001106868582831077,-2.0860105765075336,0.011104773970778817,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,623.4666666666667,mCh,F7
4075,0.149,0.072,0.077,20190511,139.31508180040115,3.097555760943771,0.00497539226623739,0.00011062373705755045,-2.056675634456535,0.011103134294767695,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,629.4666666666667,mCh,F7
4076,0.154,0.07683333333333332,0.07716666666666668,20190511,134.73983260740562,2.8961995801127216,0.005144337551461736,0.0001105762710861695,-2.026314190577213,0.011101107054240158,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,635.4666666666667,mCh,F7
4077,0.16,0.08283333333333333,0.07716666666666668,20190511,130.57482576863165,2.7190913883926138,0.005308428914070677,0.00011054277316609274,-1.9949532924397102,0.011098714973689618,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,641.4666666666667,mCh,F7
4078,0.16699999999999998,0.0898333333333333,0.07716666666666668,20190511,126.78785240633,2.5631575009353673,0.005466984158218452,0.00011052116734120855,-1.9626241168793186,0.011095997632401097,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,647.4666666666667,mCh,F7
4079,0.174,0.09699999999999999,0.077,20190511,123.35035808270091,2.4257911524102433,0.00561933658996937,0.0001105090993998059,-1.9293618894744138,0.011093008623900375,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,653.4666666666667,mCh,F7
4080,0.182,0.10483333333333332,0.07716666666666668,20190511,120.23703782683988,2.3047789435168866,0.005764839130170401,0.0001105040516642953,-1.8952057791594883,0.011089812321977035,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,659.4666666666667,mCh,F7
4081,0.189,0.11183333333333333,0.07716666666666668,20190511,117.42548548208948,2.198240128931425,0.0059028683399879895,0.00011050345678783333,-1.8601987684102017,0.011086480411478352,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,665.4666666666667,mCh,F7
4082,0.198,0.12083333333333333,0.07716666666666668,20190511,114.89589008141853,2.104576381642091,0.006032828328922482,0.00011050480575549256,-1.8243874996101783,0.011083088338808368,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,671.4666666666667,mCh,F7
4083,0.207,0.1298333333333333,0.07716666666666668,20190511,112.6307730459597,2.0224301422217525,0.006154154515809833,0.0001105057459526191,-1.787822098395404,0.011079711833110965,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,36.9,677.4666666666667,mCh,F7
4084,0.21600000000000005,0.13883333333333336,0.07716666666666668,20190511,110.6147609288472,1.9506500358209984,0.0062663172142623106,0.00011050416595240119,-1.7505559749508115,0.011076423636282631,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,683.4666666666667,mCh,F7
4085,0.227,0.14983333333333332,0.07716666666666668,20190511,108.83438921769341,1.8882621362921665,0.006368825015165878,0.000110498264521459,-1.7126456043831442,0.01107329056250041,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,689.4666666666667,mCh,F7
4086,0.237,0.15983333333333333,0.07716666666666668,20190511,107.27793338399184,1.8344460931389899,0.006461227940315428,0.00011048660221264856,-1.6741502874778766,0.011070370990059896,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,695.4666666666667,mCh,F7
4087,0.248,0.17083333333333334,0.07716666666666668,20190511,105.93526394747114,1.7885153259419089,0.006543120342850591,0.00011046813475136404,-1.6351318932779688,0.011067712861745536,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,701.4666666666667,mCh,F7
4088,0.26,0.183,0.077,20190511,104.79772281954311,1.749900642875721,0.006614143532045186,0.000110442228203071,-1.5956545850786314,0.011065352246141176,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,707.4666666666667,mCh,F7
4089,0.272,0.19483333333333336,0.07716666666666668,20190511,103.85801861855998,1.7181367631241806,0.0066739881020229305,0.00011040865661854432,-1.5557845315546506,0.011063312486183922,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,713.4666666666667,mCh,F7
4090,0.28300000000000003,0.20583333333333337,0.07716666666666668,20190511,103.11013902014773,1.6928513234026388,0.006722395946188224,0.00011036758346061016,-1.5155896048404562,0.011061603933425809,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,719.4666666666667,mCh,F7
4091,0.29600000000000004,0.2186666666666667,0.07733333333333334,20190511,102.54927852821007,1.6737560317249796,0.006759161941536906,0.00011031952863462807,-1.4751390675224743,0.011060224244702732,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,725.4666666666667,mCh,F7
4092,0.309,0.23183333333333334,0.07716666666666668,20190511,102.17178033429124,1.6606397005636717,0.006784135289529734,0.00011026532334982675,-1.4345032505281825,0.011059159192443104,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,731.4666666666667,mCh,F7
4093,0.32299999999999995,0.2458333333333333,0.07716666666666668,20190511,101.97509118202201,1.6533629500953577,0.006797220502825553,0.00011020605534875551,-1.393753224048858,0.011058383924335398,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,737.4666666666667,mCh,F7
4094,0.338,0.26083333333333336,0.07716666666666668,20190511,101.95772837449651,1.6518544224925502,0.006798378029902514,0.00011014300723945602,-1.3529604636152608,0.011057864591213294,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,743.4666666666667,mCh,F7
4095,0.35200000000000004,0.2748333333333334,0.07716666666666668,20190511,102.1192582610269,1.6561083924825248,0.006787624512393076,0.00011007759076413448,-1.312196513520961,0.011057560251679838,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,749.4666666666667,mCh,F7
4096,0.37,0.293,0.077,20190511,102.46028572014215,1.6661836992255936,0.006765032672787901,0.00011001127983300056,-1.2715326498201813,0.011057424958180002,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,755.4666666666667,mCh,F7
4097,0.391,0.31383333333333335,0.07716666666666668,20190511,102.98245432084164,1.6822039614219775,0.00673073083304508,0.00010994554504729875,-1.2310395451003902,0.011057409924387925,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,761.4666666666667,mCh,F7
4098,0.408,0.3308333333333333,0.07716666666666668,20190511,103.6884569979335,1.704359072785139,0.006684902067486255,0.0001098817922387195,-1.1907869372481863,0.011057465681221358,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,767.4666666666667,mCh,F7
4099,0.422,0.3448333333333333,0.07716666666666668,20190511,104.58205722124848,1.7329080096676155,0.006627782996212805,0.00010982130726476531,-1.150843304371306,0.011057544130675024,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,773.4666666666667,mCh,F7
4100,0.435,0.35783333333333334,0.07716666666666668,20190511,105.66812077526545,1.7681830179821358,0.006559662228063354,0.00010976520894157395,-1.111275548029329,0.01105760042142074,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,779.4666666666667,mCh,F7
4101,0.449,0.372,0.077,20190511,106.9526583967845,1.8105952835810013,0.006480878464829113,0.00010971441157028838,-1.072148686819078,0.011057594578531388,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,785.4666666666667,mCh,F7
4102,0.463,0.38583333333333336,0.07716666666666668,20190511,108.44287964365087,1.8606422302383612,0.00639181828108645,0.00010966959804903453,-1.033525562317764,0.01105749283739274,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.1,791.4666666666667,mCh,F7
4103,0.474,0.3966666666666666,0.07733333333333334,20190511,110.14725848900575,1.9189166334960852,0.006292913596475314,0.00010963120407245964,-0.995466559284985,0.011057268644052418,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,797.4666666666667,mCh,F7
4104,0.485,0.4078333333333333,0.07716666666666668,20190511,112.07561125088925,1.9861177882515733,0.006184638859638123,0.00010959941343118698,-0.9580293418962063,0.011056903303180729,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,803.4666666666667,mCh,F7
4105,0.498,0.42083333333333334,0.07716666666666668,20190511,114.23918757697258,2.063065024654218,0.006067507965188509,0.00010957416395627891,-0.9212686076943091,0.011056386267716926,M9_glucose,None,O2,1740.0,1,None,O2_R1740_mCh,37.0,809.4666666666667,mCh,F7
