time_min,temp_C,OD600,strain,well,media,neg_selection,operator,repressor,volume_marker,date,run_number
674.1166666666667,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
689.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
704.1166666666667,37.0,0.032,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
719.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
734.1166666666667,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
749.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
764.1166666666667,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
779.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
794.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
809.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
824.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
839.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
854.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
869.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
884.1166666666667,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
899.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
914.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
929.1166666666667,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
944.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
959.1166666666667,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
974.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
989.1166666666667,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1004.1166666666667,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1019.1166666666667,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1034.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1049.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1064.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1079.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1094.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1109.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1124.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1139.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1154.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1169.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1184.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1199.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1214.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1229.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1244.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1259.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1274.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1289.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1304.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1319.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1334.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1349.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1364.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1379.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1394.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1409.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1424.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1439.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1454.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1469.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1484.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1499.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1514.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1529.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1544.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1559.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1574.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1589.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1604.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1619.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1634.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1649.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1664.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1679.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1694.1166666666666,37.0,0.03,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1709.1166666666666,37.0,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1724.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
1739.1166666666666,37.1,0.031,blank,A02,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
14.116666666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
29.116666666666667,37.1,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
44.11666666666667,36.9,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
59.11666666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
74.11666666666666,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
89.11666666666666,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
104.11666666666666,37.1,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
119.11666666666666,37.1,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
134.11666666666667,37.1,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
149.11666666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
164.11666666666667,37.1,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
179.11666666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
194.11666666666667,37.1,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
209.11666666666667,37.1,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
224.11666666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
239.11666666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
254.11666666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
269.1166666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
284.1166666666667,37.1,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
299.1166666666667,37.0,0.031,blank,A03,M9_0.5%_glucose,0_uM_beta-thujaplicin,blank,,blank,20200613,1
