time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number
749.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
764.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
779.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
794.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
809.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
824.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
839.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
854.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
869.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
884.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
899.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
914.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
929.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
944.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
959.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
974.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
989.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1004.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1019.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1034.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1049.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1064.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1079.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1094.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1109.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1124.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1139.45,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1154.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
1169.45,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,blank,,blank,20200313,1
