0:24:31,37.0,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.053,0.050,0.052,0.049,0.051,0.049,0.050,0.047,0.050,0.052,0.048,0.052,0.049,0.051,0.049,0.051,0.059,0.055,0.058,0.055,0.058,0.054,0.055,0.053,0.055,0.059,0.054,0.058,0.054,0.057,0.054,0.055,0.052,0.052,0.051,0.051,0.051,0.050,0.050,0.050,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
0:49:31,37.1,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.057,0.052,0.055,0.052,0.055,0.052,0.054,0.050,0.052,0.056,0.051,0.056,0.053,0.054,0.051,0.054,0.063,0.058,0.062,0.057,0.061,0.057,0.058,0.056,0.058,0.063,0.058,0.062,0.057,0.060,0.057,0.058,0.055,0.055,0.052,0.051,0.053,0.053,0.054,0.052,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.031
1:14:31,37.1,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.063,0.057,0.061,0.056,0.060,0.056,0.060,0.055,0.057,0.062,0.055,0.061,0.061,0.060,0.056,0.060,0.069,0.063,0.068,0.062,0.067,0.061,0.063,0.060,0.062,0.069,0.061,0.071,0.062,0.067,0.061,0.064,0.060,0.060,0.053,0.053,0.058,0.058,0.058,0.057,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.031
1:39:31,37.0,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.067,0.061,0.066,0.061,0.066,0.060,0.065,0.058,0.061,0.066,0.059,0.069,0.064,0.065,0.060,0.065,0.077,0.068,0.077,0.067,0.074,0.067,0.070,0.066,0.068,0.076,0.067,0.075,0.068,0.073,0.067,0.070,0.064,0.064,0.054,0.054,0.063,0.062,0.062,0.061,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.031
2:04:31,37.0,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.073,0.066,0.072,0.066,0.072,0.066,0.074,0.063,0.067,0.073,0.064,0.072,0.069,0.072,0.066,0.074,0.087,0.075,0.086,0.074,0.084,0.074,0.079,0.073,0.074,0.086,0.074,0.084,0.076,0.083,0.074,0.080,0.070,0.070,0.056,0.056,0.068,0.068,0.068,0.067,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.031
2:29:31,36.9,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.081,0.073,0.079,0.073,0.081,0.073,0.082,0.070,0.073,0.081,0.071,0.081,0.076,0.081,0.073,0.082,0.098,0.085,0.102,0.083,0.097,0.084,0.091,0.082,0.083,0.099,0.083,0.097,0.085,0.095,0.084,0.093,0.077,0.076,0.058,0.057,0.076,0.075,0.074,0.074,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.031
2:54:31,37.1,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.093,0.083,0.092,0.083,0.094,0.083,0.092,0.081,0.083,0.093,0.081,0.093,0.085,0.094,0.084,0.093,0.116,0.097,0.118,0.096,0.115,0.097,0.107,0.094,0.095,0.115,0.094,0.114,0.098,0.112,0.096,0.110,0.087,0.087,0.058,0.058,0.086,0.085,0.085,0.083,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.031
3:19:31,37.1,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.110,0.096,0.107,0.096,0.113,0.097,0.106,0.094,0.096,0.109,0.093,0.109,0.099,0.112,0.097,0.105,0.138,0.112,0.138,0.111,0.140,0.113,0.129,0.109,0.110,0.137,0.109,0.136,0.114,0.134,0.111,0.127,0.100,0.100,0.059,0.059,0.098,0.098,0.100,0.096,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.031
3:44:31,37.1,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.129,0.112,0.126,0.112,0.135,0.114,0.113,0.111,0.112,0.128,0.108,0.129,0.116,0.134,0.114,0.114,0.166,0.130,0.165,0.130,0.169,0.134,0.155,0.128,0.127,0.164,0.127,0.164,0.134,0.161,0.131,0.152,0.116,0.115,0.060,0.060,0.113,0.113,0.114,0.110,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.031
4:09:31,37.0,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.151,0.131,0.149,0.133,0.159,0.136,0.120,0.134,0.131,0.152,0.127,0.153,0.139,0.158,0.136,0.121,0.199,0.154,0.198,0.155,0.204,0.160,0.188,0.153,0.151,0.196,0.151,0.196,0.159,0.196,0.156,0.183,0.136,0.135,0.062,0.062,0.132,0.132,0.133,0.131,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.031
