time_min,temp_C,OD600,strain,well,media,neg_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,logOD_fit,logOD_fit_std,growth_rate,growth_rate_std,doubling_time,doubling_time_std
763.9666666666667,37.0,0.75,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.17966666666666672,0.5703333333333332,-0.2921635890215839,0.0022654143782380337,0.0008561236090454116,2.89720264239086e-05,809.6344654398831,27.398790173052202
778.9666666666667,37.1,0.76,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.17977777777777781,0.5802222222222222,-0.27984244028965577,0.0022642824221602654,0.0007866029297267652,2.91156902063153e-05,881.190692743437,32.61680608222287
793.9666666666667,37.0,0.7659999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18005555555555564,0.5859444444444443,-0.2685736333141904,0.0022639181321443993,0.0007154923256318391,2.9253941958688285e-05,968.7695531155262,39.60954892585204
808.9666666666667,37.0,0.772,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18111111111111117,0.5908888888888888,-0.25839264972415776,0.0022652471888032935,0.0006414211475374021,2.9349471007292433e-05,1080.64285566688,49.44691375300091
823.9666666666667,37.0,0.78,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18102777777777784,0.5989722222222222,-0.24934757006192854,0.0022686209025608427,0.0005640670464088782,2.938323327473512e-05,1228.8382825638428,64.01232290270158
838.9666666666667,37.0,0.7859999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18177777777777784,0.6042222222222221,-0.24148413283819536,0.0022735921311616294,0.0004840392198821597,2.9365008547739503e-05,1432.0062343888028,86.87493406728659
853.9666666666667,37.1,0.789,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18250000000000005,0.6065,-0.2348330544495525,0.002279024976752609,0.0004026967213288657,2.9333734497618795e-05,1721.2635312068528,125.38241498028395
868.9666666666667,37.0,0.792,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18291666666666673,0.6090833333333333,-0.22940043989811443,0.0022835322239985454,0.00032192158273725013,2.9345524009366993e-05,2153.1553574824666,196.27597411034841
883.9666666666667,37.0,0.797,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1830833333333334,0.6139166666666667,-0.22516179863555408,0.002286089091946565,0.00024386876457360707,2.9451504583447104e-05,2842.295862579532,343.25793945213354
898.9666666666667,37.1,0.8009999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18308333333333335,0.6179166666666666,-0.2220598446676263,0.002286579305986788,0.00017071529444234734,2.9673273587203506e-05,4060.2523799883065,705.7421544920517
913.9666666666667,37.1,0.8009999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18372222222222226,0.6172777777777777,-0.2200059336118727,0.0022860238242462384,0.00010442946556632471,2.998775667091989e-05,6637.4674695593185,1906.0018961973544
928.9666666666667,37.1,0.8009999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1842222222222223,0.6167777777777776,-0.21888469780745368,0.0022863285644577186,4.657786052120194e-05,3.0331057490227343e-05,14881.473146333743,9690.673047021171
943.9666666666667,37.0,0.802,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18386111111111114,0.6181388888888889,-0.21856120555452208,0.002289558267824227,-1.816406269616877e-06,3.062218747552483e-05,-381603.6049612108,6433327.900218639
958.9666666666667,37.1,0.804,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1850555555555556,0.6189444444444444,-0.2188898079282069,0.0022969700923531297,-4.035603462670956e-05,3.0798256250079646e-05,-17175.80002523804,13107.945202507537
973.9666666666667,37.1,0.8029999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18533333333333338,0.6176666666666666,-0.21972375519324316,0.0023082333270955523,-6.928982697917974e-05,3.08482142126393e-05,-10003.592313316394,4453.654627681814
988.9666666666667,37.1,0.802,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18472222222222226,0.6172777777777778,-0.22092466616462048,0.0023212813362693306,-8.947367825129504e-05,3.0831937029086305e-05,-7746.939592817206,2669.535424966374
1003.9666666666667,37.1,0.8009999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18497222222222226,0.6160277777777776,-0.22237101236818546,0.0023330115421879346,-0.00010227984465649431,3.0872435528136225e-05,-6776.967474753918,2045.578893312602
