time_min,temp_C,OD600,strain,well,media,neg_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,logOD_fit,logOD_fit_std,growth_rate,growth_rate_std,doubling_time,doubling_time_std
748.9666666666667,37.0,0.589,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.17925000000000002,0.40974999999999995,-0.5183048632291332,0.002977142514842144,0.0015419956000995994,5.3060909995795294e-05,449.5130728746399,15.467990116310345
763.9666666666667,37.0,0.603,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.17966666666666672,0.42333333333333323,-0.49567631327349204,0.0029779858290117007,0.0014728689802597783,5.3087774526980666e-05,470.6102103105539,16.962573772621056
778.9666666666667,37.1,0.616,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.17977777777777781,0.4362222222222222,-0.4741637692350338,0.0029793855683725766,0.0013947531291855775,5.3087468622986805e-05,496.9676468585426,18.915716198928944
793.9666666666667,37.0,0.627,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.18005555555555564,0.44694444444444437,-0.453832873837797,0.0029807841552105026,0.0013167546437273803,5.308898880092991e-05,526.4057232392445,21.22365596272744
808.9666666666667,37.0,0.6409999999999999,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.18111111111111117,0.45988888888888874,-0.43462198746196634,0.002981564944577784,0.0012464936037120955,5.313418429935311e-05,556.0776072141342,23.703876199980524
823.9666666666667,37.0,0.653,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.18102777777777784,0.4719722222222222,-0.4163739917833027,0.0029816607714250407,0.0011889394678549214,5.3240786608043775e-05,582.9961905550313,26.106607286444593
838.9666666666667,37.0,0.67,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.18177777777777784,0.4882222222222222,-0.3988806933549114,0.0029817959873864046,0.001145904781422069,5.3379746103509716e-05,604.8907307112803,28.177658518593514
853.9666666666667,37.1,0.68,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.18250000000000005,0.4975,-0.381929854452963,0.0029830327544276693,0.0011161895732708649,5.3491659729186896e-05,620.9941368012938,29.76018398223647
868.9666666666667,37.0,0.6890000000000001,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.18291666666666673,0.5060833333333333,-0.36534588059514306,0.002985867054519775,0.0010962544930560592,5.353581948396158e-05,632.2867408530656,30.87785640544794
883.9666666666667,37.0,0.703,O2_R260_T_mCherry,E04,M9_0.5%_glucose,0.01_mM_NiCl2,O2,260.0,mCherry,20200305,1,0.1830833333333334,0.5199166666666666,-0.34901767114305926,0.002989612905797786,0.001081221502932106,5.3534407282105346e-05,641.0778722770839,31.741621694497496
