time_min,temp_C,OD600,strain,well,media,neg_selection,operator,repressor,volume_marker,date,run_number
1374.4666666666667,37.1,0.031,blank,B02,M9_0.5%_glucose,0_%wv_2DoG,blank,,blank,20200902,1
1399.4666666666667,37.0,0.031,blank,B02,M9_0.5%_glucose,0_%wv_2DoG,blank,,blank,20200902,1
1424.4666666666667,37.0,0.031,blank,B02,M9_0.5%_glucose,0_%wv_2DoG,blank,,blank,20200902,1
1449.4666666666667,37.1,0.031,blank,B02,M9_0.5%_glucose,0_%wv_2DoG,blank,,blank,20200902,1
1474.4666666666667,37.1,0.031,blank,B02,M9_0.5%_glucose,0_%wv_2DoG,blank,,blank,20200902,1
1499.4666666666667,37.1,0.031,blank,B02,M9_0.5%_glucose,0_%wv_2DoG,blank,,blank,20200902,1
24.466666666666665,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
49.46666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
74.46666666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
99.46666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
124.46666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
149.46666666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
174.46666666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
199.46666666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
224.46666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
249.46666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
274.46666666666664,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
299.46666666666664,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
324.46666666666664,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
