time_min,temp_C,OD600,YFP,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,logOD_fit,logOD_fit_std,growth_rate,growth_rate_std,doubling_time,doubling_time_std
18.95,37.0,0.129,36.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.09799999999999999,-2.079693105613387,0.0048826959069578684,0.0019172149829250196,0.0002247399120984498,361.5385789977699,42.38030121180988
38.95,37.0,0.132,38.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.10099999999999999,-2.0249962986025594,0.003049683486962475,0.0035078582168426853,0.0001265212148585274,197.59840270392274,7.126967060460872
58.95,37.0,0.142,30.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.11093749999999997,-1.9413090315903219,0.002901030194670531,0.004809777858736958,7.056076630685941e-05,144.11209850385168,2.11416418869533
78.95,37.0,0.162,36.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031187500000000014,0.1308125,-1.8347131948867172,0.0028522905511011386,0.005796296521794142,5.391445929013249e-05,119.5844929523022,1.1123194358269948
98.95,37.1,0.185,39.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.15393749999999998,-1.7115841355914654,0.002665103158906156,0.006464480439379527,5.353834369908345e-05,107.22395822215138,0.8880208056789632
118.95,37.0,0.212,29.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.18093749999999997,-1.5781389370581564,0.002507653879381325,0.006832479533360636,5.137062475071324e-05,101.44884842692133,0.7627524822409569
138.95,37.0,0.239,33.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.030937500000000014,0.20806249999999998,-1.4400567219141749,0.0024561408614772553,0.006935084541435543,4.6117209754924244e-05,99.9479063908377,0.6646376891373381
158.95,37.0,0.274,36.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.2429375,-1.3022001098822784,0.0024554012749476713,0.006818178155305166,4.124714747421439e-05,101.66164109698622,0.6150107268076167
178.95,37.0,0.312,32.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.2809375,-1.1684523380836822,0.0024389015181827947,0.006532846884222954,3.903266602116872e-05,106.10185618063683,0.6339408208887595
198.95,37.1,0.353,33.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.32199999999999995,-1.0416692684102031,0.002394756127973137,0.006129896461571471,3.878227344490444e-05,113.07649075401329,0.7154057841114191
218.95,37.0,0.397,37.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.3659375,-0.9237317807238128,0.002348419096350709,0.0056553847190266016,3.8635829771925356e-05,122.5641074829033,0.8373198691374724
238.95,37.0,0.445,43.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.4139375,-0.8156737526997517,0.0023229349344006224,0.005147577389515101,3.769993021959246e-05,134.65502859107852,0.986189191043729
258.95,37.0,0.491,46.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.45999999999999996,-0.7178551881110593,0.002317938945708131,0.004635481795057128,3.628131405146113e-05,149.53077397457514,1.1703579500009127
278.95,37.0,0.536,51.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.5049375,-0.6301494901823617,0.0023175307534921163,0.004138863682869198,3.512816461883791e-05,167.4728219315096,1.4214077362202702
298.95,37.0,0.5770000000000001,55.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.5459375000000001,-0.5521179534107432,0.0023091811742489096,0.0036694441403781752,3.4636649896312606e-05,188.89705199014395,1.7830387399094936
318.95,37.0,0.619,49.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.588,-0.48315210631204764,0.0022929166647643667,0.003232837732330074,3.459278007256989e-05,214.40828088218277,2.2942625397252274
338.95,37.0,0.657,53.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.6259375,-0.42257393423000167,0.002276989460759742,0.002830746421812247,3.453533966435843e-05,244.86374873387342,2.987357916926591
358.95,37.1,0.693,57.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.6619375,-0.3696934351200696,0.0022682279892298654,0.0024629662714825695,3.421202464486445e-05,281.4278005287945,3.909194761991385
378.95,37.0,0.725,64.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.6939375,-0.32383076908610064,0.0022664413117737367,0.0021288792202394102,3.3707580762115585e-05,325.59253431107993,5.1552650528471
398.95,37.1,0.755,57.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.7239375,-0.28431526401703877,0.0022663678792470363,0.0018282621347798234,3.327060821196549e-05,379.1289921581298,6.899367393729649
418.95,37.0,0.778,69.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.7469375,-0.2504751821419404,0.0022633703250585888,0.0015614154648262435,3.3061045646954865e-05,443.9223231576483,9.399507383033692
438.95,37.0,0.8029999999999999,64.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.7718749999999999,-0.22163057424921817,0.0022570288838286087,0.0013287605742485775,3.303402138779212e-05,521.6494182572541,12.968610277577172
458.95,37.1,0.8190000000000001,67.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.788,-0.1970974982971967,0.002250314982021611,0.0011301517499262559,3.30260686100803e-05,613.3222203170275,17.922922058563064
478.95,37.1,0.8390000000000001,72.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8078750000000001,-0.17620652137975412,0.0022462141297497715,0.0009641814552123762,3.29181084066069e-05,718.8970258790848,24.54385541553739
498.95,37.1,0.851,76.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8198749999999999,-0.15833307493368665,0.002245174728262904,0.0008277250348734944,3.271846467987967e-05,837.4123668566853,33.10138728821028
518.95,37.0,0.866,88.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.834875,-0.14293308462548282,0.002245284925532723,0.0007158864412366572,3.2523080646761615e-05,968.2362182507172,43.98745778294968
538.95,37.0,0.8759999999999999,72.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8448749999999998,-0.1295751818147437,0.0022443816720525444,0.000622392100483038,3.241514333891835e-05,1113.6824841157115,58.00230646988633
558.95,37.1,0.8859999999999999,64.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8548749999999998,-0.11796105121468159,0.002241879758713212,0.0005403628518508286,3.2397242376451295e-05,1282.743952856504,76.9064094714853
578.95,37.1,0.895,80.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.8639375,-0.10792786889545525,0.002238881799751922,0.0004632997980142384,3.240529093481288e-05,1496.109395106283,104.6446823990112
598.95,37.1,0.901,78.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.869875,-0.09943066691498004,0.0022368662862317585,0.00038606818076758476,3.237517591168418e-05,1795.4009552971263,150.55999083939716
618.95,37.0,0.909,94.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031000000000000014,0.878,-0.09250686860383439,0.0022363361332327844,0.00030566311014434966,3.2295146044626745e-05,2267.683464427899,239.59439734843622
638.95,37.1,0.912,92.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8808750000000001,-0.08722914894184086,0.002236563692375402,0.000221589641338088,3.2204596267436784e-05,3128.066710945136,454.6156802063544
658.95,37.0,0.917,89.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.8859375,-0.0836553222673242,0.0022364369031606115,0.00013577441919690458,3.215105369218069e-05,5105.138248131411,1208.8843752197783
678.95,37.0,0.922,84.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8908750000000001,-0.08178461546125249,0.002235484260468522,5.2026876024000024e-05,3.214772252804948e-05,13322.867593283829,8232.280763297336
698.95,37.0,0.921,88.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.8899375,-0.0815283531760862,0.0022341742266629625,-2.483774505425418e-05,3.216685718608134e-05,-27907.00923315999,36141.79864286662
718.95,37.0,0.918,89.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031125000000000014,0.8868750000000001,-0.08270010101533742,0.0022333475637750914,-9.003355354551129e-05,3.216926843444572e-05,-7698.765107716919,2750.792694622432
738.95,37.1,0.915,93.0,O1_R0_T_mCherry,C05,M9_0.5%_glucose,0.5_ugmL_tetracycline,O1,0.0,mCherry,20200707,1,0.031062500000000014,0.8839375,-0.085026362889149,0.0022333949786231436,-0.00013978971921487296,3.2139832369633924e-05,-4958.498982993863,1140.0360986022165
